CID,f1_mass_PC1,f2_lipophilicity_PC1,f3_lipophilicity_extended_PC1,f3_lipophilicity_extended_PC2,f3_lipophilicity_extended_PC3,f3_lipophilicity_extended_PC4,f4_volume_PC1,f5_volume_PC1,f6_volume_PC1,f7_surface_shape_Mor_PC1,f7_surface_shape_Mor_PC2,f7_surface_shape_Mor_PC3,f7_surface_shape_Mor_PC4,f7_surface_shape_Mor_PC5,f7_surface_shape_Mor_PC6,f7_surface_shape_Mor_PC7,f8_surface_shape_RDF_PC1,f8_surface_shape_RDF_PC2,f8_surface_shape_RDF_PC3,f8_surface_shape_RDF_PC4,f8_surface_shape_RDF_PC5,f8_surface_shape_RDF_PC6,f8_surface_shape_RDF_PC7,f8_surface_shape_RDF_PC8,f9_whim_PC1,f9_whim_PC2,f9_whim_PC3,f9_whim_PC4,f10_geometry_topology_PC1,f10_geometry_topology_PC2,f10_geometry_topology_PC3,f10_geometry_topology_PC4,f10_geometry_topology_PC5,f10_geometry_topology_PC6,f10_geometry_topology_PC7,f10_geometry_topology_PC8,f11_spatial_autocorrelation_PC1,f11_spatial_autocorrelation_PC2,f11_spatial_autocorrelation_PC3,f11_spatial_autocorrelation_PC4,f11_spatial_autocorrelation_PC5,f11_spatial_autocorrelation_PC6,f11_spatial_autocorrelation_PC7,f11_spatial_autocorrelation_PC8,f12_polarity_PC1,f13_p_vsa_logp_PC1,f13_p_vsa_logp_PC2,f13_p_vsa_logp_PC3,f13_p_vsa_logp_PC4,f13_p_vsa_logp_PC5,f14_spdiam_PC1,f14_spdiam_PC2,f14_spdiam_PC3,f14_spdiam_PC4
179,-2.286230106,-3.199504368,-4.75210786,0.27268179577011076,-1.495469241,-0.043973279,-2.330895368,-2.267295821,-2.349677763,8.846086268,-9.578540829,-5.365176518,5.427897918939954,-0.233439317,-0.722425859,-2.817937927,-12.85181443,1.0573638381965251,-0.530327926,-0.139651098,0.2512351467605897,0.2502929070859206,0.8543251816318034,-0.61661779,-2.594450367,-1.362699907,-0.196141331,0.1675039302132169,-25.4978664,-1.451765887,-1.236187625,6.967604281653019,-6.581874985,9.916550369911791,7.704003897252205,1.4808560932648214,-6.391473778,0.7647606221537375,7.783476615286854,-5.205000994,-0.890663171,-0.601832399,-1.086937419,-4.094291677,-3.266009976,-1.709108518,-0.651471617,-1.769849006,0.04236344,-0.585559896,-2.207576332,-1.116572102,-1.030990768,0.22414970723066555
240,-1.785253965,-0.905834508,-2.048199827,-0.173441908,-0.012213187,0.073501382,-1.940070559,-1.974537328,-1.8704567,15.515095251799032,-2.814353879,0.5623134175131809,2.7444464281607432,-3.561097218,0.22876152363565827,0.9095108915685347,-13.79212149,1.3018598518581361,-0.926329193,0.2341664651723157,-0.095222655,1.015728131537917,0.5525724054786462,-1.493260795,-2.579790004,-0.880623861,-1.52835072,0.040428370093103454,-19.64840333,4.950485450036921,-2.530613561,-4.096229339,-3.036473785,0.8705775726674021,-0.653340842,1.5162813114972378,-2.579485289,-5.328197776,0.8198792366116886,-2.244802533,-8.271056426,0.5909514254607721,1.4497115193237886,-1.39434537,1.3117063082147797,-2.23427618,0.14819732442059877,-1.827310871,0.561739106,-0.32401532,-1.478688385,-0.873686964,-0.965321377,-0.33176632
244,-1.729064526,-1.110482746,-2.498395526,-0.262601161,-0.143003449,0.13543242811169523,-1.807131081,-1.909752549,-1.726799418,16.197014400249437,-1.769080618,0.7673296977429364,0.7633898573383329,-3.987732233,-0.29815601,1.0194486880740403,-11.83093284,0.851969756,-0.596603237,0.040690829,-0.198260525,0.5017762446751468,0.5442274071175373,1.428183820200703,-2.251664399,-0.957908502,-0.751109467,0.061620522,-23.41268265,-4.238435995,2.2076646672732463,5.760757529502394,-3.110267082,3.0177472453439225,-1.017915399,7.090840599644646,-4.436890491,-3.03108397,2.210867071555527,-2.815815637,-3.429443739,1.235383035606457,3.112599506085707,-1.206439675,0.11062233276544138,-2.565264701,-2.724088969,-0.66727518,0.5410622867151618,-0.392052727,-1.478688385,-0.873686964,-0.965321377,-0.33176632
323,-0.672035467,-0.335578744,-1.273645936,-0.440255349,0.069104533,0.099189499,-1.355990718,-1.277855551,-1.130362736,17.418083223567805,2.575240218942106,0.833899001,3.0850797687617293,-2.760879099,2.4832917191442996,2.9622615441311724,-11.68268937,0.070237735,-0.211348918,-0.303611792,0.7987461864863257,1.046121286706889,0.9923168664363934,-3.014344256,-2.057302121,-0.518945055,-1.674194415,-0.037583233,-15.5652159,1.9640455501778695,-0.210537046,-0.689917177,-0.634420013,-0.191110986,-0.060119611,-0.93422033,-1.564834855,-4.267043894,-2.042510549,-0.143174869,-4.40841455,1.8594305986787822,-1.012174878,3.623191203600665,2.7847338252752865,-2.980041624,0.10513089139341045,0.35229247130991526,0.25334178040054567,-0.257951847,0.14513058851287217,-0.468553707,-1.085964797,-0.530583958
326,-0.6144552,0.1909880714147953,0.082530618,-0.153126061,0.15694967887866476,0.008979238,-0.633067014,-0.700927458,-0.621701471,9.466825905229399,0.8705896691557395,0.8576536656868814,0.24355543048764947,-3.260601229,1.3438639847045208,0.8859281014972601,-6.5331584,-0.871900409,0.376007332,-0.030885396,-0.260202328,0.6407502729717588,-0.614326395,-2.131203441,-0.998625831,-0.529159858,0.4599172521689861,0.060722513540249094,-8.114949126,-3.780490467,1.2068059459127267,1.2409373572180504,0.34890108048251756,1.7109668070143833,1.7918770550519598,1.4047493336981742,-0.269974048,0.6354695412242466,-4.432840711,-3.08199818,-0.393554312,-5.745026723,0.9005516710184568,1.403788517732033,0.8358051103952305,-1.540802795,0.38034485971356363,-1.250471203,0.003373676,0.33206953471022604,-0.104280792,-0.199311845,-0.71661162,-0.227727746
454,-1.170229952,0.5565955979634524,0.45891428720270727,-0.562426335,0.085330983,0.020112208,-0.769730796,-0.784853195,-0.879848426,-4.623867424,-7.302498095,7.589645618479503,3.6014301167201173,-1.234702428,1.4371027618665602,0.7546000147329167,-6.626392843,2.0039946906770867,-0.3927697,0.45482332563644784,-1.116380698,-1.621507721,-1.923509604,0.063807317,-1.815770082,0.6723764805096234,0.2390716638250424,-0.005004504,-7.147703348,5.418730544703048,-3.296287107,-5.748292096,0.080132194,-0.289939605,2.958753118272687,-5.190746833,4.614720504647259,1.6081740105486453,2.0312904882312406,-2.116440269,-1.082964013,-1.042570862,0.21251079368656653,0.9080738571785789,-0.591898483,0.9107362585155745,0.9244196881095462,-1.372669531,0.2239754722366034,-0.449602684,-2.724672918,-0.180024767,0.26197457554627307,-0.023422281
798,-1.478437372,-0.83110341,-1.529831006,0.19538703295140278,0.12178022387317786,-0.037535515,-1.713115119,-2.066561163,-1.514175738,16.852709024130572,-1.241986109,2.521827740107127,2.9558145531947675,-10.09000679,-0.905484744,1.0187578421843209,-13.04615197,0.8048685159529219,-0.428528252,-0.152952777,0.4322866336452062,0.6799559220124491,0.7994857944318408,-2.449559984,-2.285238355,-0.739178256,-1.648629569,-0.02729099,-15.96904859,5.627607483252515,-6.314853374,-7.415640669,-3.648490123,0.2830580240753293,-1.819283618,2.7064955686021963,-6.795307281,-3.549975212,3.648656943837654,-2.697916047,0.3327624309118832,-0.775257124,3.290412959,0.48936637009152456,3.645888373710661,-2.957296367,-1.117534325,0.9104647212245759,-0.319899334,-1.149424294,0.065647919,-3.312305584,0.8999959337272238,-0.362315202
957,-1.114040513,0.7233034323960161,0.6775189214328187,-0.717777442,0.047724563069029086,0.014546773534774309,-0.636791318,-0.720068415,-0.736191145,-5.39518204,-6.251983602,8.655960494956078,4.220610751,-2.779468499,-0.071426239,-1.475368728,-2.900998509,4.558158278742244,-0.947774963,1.4052987500062224,-0.400345549,-3.624092234,-4.579369049,1.3434612075159658,-1.533493663,0.9631754475923784,0.36543901967962045,-0.067477938,-3.54479325,9.459566726986388,-5.233280023,-7.475186274,-1.608717754,-0.032212976,0.2752007951211516,-4.062878663,3.792447181485454,2.8918073791584464,2.8712783136834217,-2.490503611,0.503091265,1.283885974524668,1.5780560308845604,0.1846763937484296,-1.249095375,0.5797651447173972,-1.947844242,-0.212637592,0.20327525964910376,-0.517658443,-2.724672918,-0.180024767,0.26197457554627307,-0.023422281
1183,-0.504857976,-1.879638203,-3.019257941,0.3645008936754822,-0.242321673,-0.141613712,-1.141389066,-1.118592968,-1.064394876,18.29606365030219,2.554384976626473,-0.591793323,3.463678665288646,-1.25648655,1.7608336130537139,-2.377076524,-9.631273281,-0.174251154,-0.468866122,0.13351792283706454,-0.192990249,1.6758687393192198,0.1064161107160805,2.0803183808617174,-0.967783697,-0.898862595,-2.334130889,-0.430379421,-16.3604029,-4.896333994,7.584903824184445,2.514011672503965,6.252072051890099,-8.155950505,-8.716942788,2.1214682865095953,-4.148102356,-3.876432772,-1.343614913,0.055103947,-1.497245183,1.649763700490547,0.22074472007463516,0.8647795267279229,-0.183983171,-2.711606361,3.0129054354308953,-0.863176179,0.703369452,0.5796211420016031,0.005510401,-0.374346162,-0.951509626,-0.290549649
2345,1.1669169293327737,1.100408050974505,1.6238285537993755,-0.651009979,-0.040505924,-0.031516412,0.5564392882809645,0.44777539458010235,0.6633088215160317,17.15772313337903,14.091065175329545,6.975314014914083,-3.482703491,0.068378768,0.49536007814363825,2.0439421823885406,2.432029929598054,3.069786267042227,-6.554924125,4.558085838079621,-4.005448522,1.9749431903102928,2.626144456410854,-2.974438202,1.3502927608736737,1.0097524379887273,0.20381327700286028,0.3269469050832389,1.7528784078239354,1.285102916420741,13.342148939744979,1.597886990645451,-1.343329606,5.168969762951367,1.5855427300361888,3.6783936074911634,0.4896368846055708,-2.904582417,-2.803543426,-0.119524863,-2.079035098,-0.683527645,1.288340441580676,-3.356948005,2.2635087038538755,-2.552213294,-0.951895427,0.6931667924133577,1.2344813086213373,1.0533464622846545,0.7758895731395941,1.4559269819349103,0.8475522971053567,-0.186242428
